cle_obs,type_en,code_en,nom_en,version_en,type_info_geo
1192592,"ZNIEFF type 2",04M000002,"Grande Anse",2016-05,Rattachement
1180756,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1093673,"ZNIEFF type 1",04M000023,"Saint Pierre Platier Ouest",2016-05,Rattachement
1188788,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1097006,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1191022,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1196584,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1185361,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1187964,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1178346,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1179291,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1189568,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1093587,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1192495,"ZNIEFF type 1",04M000008,"Grand Bois Pente Externe",2016-05,Rattachement
1183908,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1181534,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1186229,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1179317,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1096380,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1197401,"ZNIEFF type 1",04M000012,"Terre Sainte Pente Externe",2016-05,Rattachement
1185684,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1178795,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1178929,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1178119,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1178085,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1097032,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1191832,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1190229,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1191249,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1187692,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1184497,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1180456,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1182452,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1095554,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1197596,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1186152,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1189055,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1195818,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1188848,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1182844,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1192733,"ZNIEFF type 1",04M000009,"Grande Anse Pente Externe",2016-05,Rattachement
1095884,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1178996,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1190076,"ZNIEFF type 1",04M000022,"Saint Pierre Pente Externe Ouest",2016-05,Rattachement
1189674,"ZNIEFF type 1",04M000023,"Saint Pierre Platier Ouest",2016-05,Rattachement
1187147,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1096772,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1190206,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1095575,"ZNIEFF type 1",04M000024,"Saint Pierre Platier Est",2016-05,Rattachement
1183724,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1191842,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1190588,"ZNIEFF type 1",04M000022,"Saint Pierre Pente Externe Ouest",2016-05,Rattachement
1198200,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1185050,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1177335,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1097210,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1183866,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1183040,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1095287,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1198123,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1188486,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1094521,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1177310,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1186310,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1198483,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1093704,"ZNIEFF type 1",04M000023,"Saint Pierre Platier Ouest",2016-05,Rattachement
1195829,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1182160,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1185250,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1183277,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1180093,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1093856,"ZNIEFF type 1",04M000023,"Saint Pierre Platier Ouest",2016-05,Rattachement
1095890,"ZNIEFF type 1",04M000024,"Saint Pierre Platier Est",2016-05,Rattachement
1183262,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1184344,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1182562,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1180710,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1184994,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1190949,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1192968,"ZNIEFF type 1",04M000009,"Grande Anse Pente Externe",2016-05,Rattachement
1178659,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1187717,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1095821,"ZNIEFF type 1",04M000024,"Saint Pierre Platier Est",2016-05,Rattachement
1195565,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1196646,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1096170,"ZNIEFF type 1",04M000024,"Saint Pierre Platier Est",2016-05,Rattachement
1188030,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1183540,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1097146,"ZNIEFF type 1",04M000024,"Saint Pierre Platier Est",2016-05,Rattachement
1196506,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1186300,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1179582,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1189195,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1177456,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1096483,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1094410,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1190809,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1178610,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1189893,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1197224,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1179464,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1186900,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1192948,"ZNIEFF type 1",04M000009,"Grande Anse Pente Externe",2016-05,Rattachement
1182142,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1185703,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1189770,"ZNIEFF type 1",04M000022,"Saint Pierre Pente Externe Ouest",2016-05,Rattachement
1181071,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1190575,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1184698,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1196660,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1195914,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1096934,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1188439,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1188378,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1183550,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1096861,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1095427,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1185656,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1191907,"ZNIEFF type 1",04M000008,"Grand Bois Pente Externe",2016-05,Rattachement
1181607,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1180357,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1181772,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1192570,"ZNIEFF type 2",04M000002,"Grande Anse",2016-05,Rattachement
1177568,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1096256,"ZNIEFF type 1",04M000024,"Saint Pierre Platier Est",2016-05,Rattachement
1192688,"ZNIEFF type 2",04M000002,"Grande Anse",2016-05,Rattachement
1097134,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1183415,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1182904,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1197688,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1198088,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1095797,"ZNIEFF type 1",04M000024,"Saint Pierre Platier Est",2016-05,Rattachement
1193013,"ZNIEFF type 1",04M000009,"Grande Anse Pente Externe",2016-05,Rattachement
1095104,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1196000,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1189903,"ZNIEFF type 1",04M000022,"Saint Pierre Pente Externe Ouest",2016-05,Rattachement
1096044,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1181102,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1190681,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1186384,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1185564,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1093726,"ZNIEFF type 1",04M000023,"Saint Pierre Platier Ouest",2016-05,Rattachement
1181243,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1179510,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1190463,"ZNIEFF type 1",04M000022,"Saint Pierre Pente Externe Ouest",2016-05,Rattachement
1177888,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1191098,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1185114,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1191313,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1193121,"ZNIEFF type 1",04M000009,"Grande Anse Pente Externe",2016-05,Rattachement
1195269,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1190117,"ZNIEFF type 1",04M000022,"Saint Pierre Pente Externe Ouest",2016-05,Rattachement
1183373,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1097167,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1189589,"ZNIEFF type 1",04M000022,"Saint Pierre Pente Externe Ouest",2016-05,Rattachement
1178492,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1094398,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1182771,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1185545,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1180024,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1197965,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1177324,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1190154,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1094404,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1177823,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1178522,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1189881,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1183896,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1181236,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1191731,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1187046,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1096480,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1197513,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1191597,"ZNIEFF type 1",04M000012,"Terre Sainte Pente Externe",2016-05,Rattachement
1189593,"ZNIEFF type 1",04M000022,"Saint Pierre Pente Externe Ouest",2016-05,Rattachement
1187738,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1184598,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1177689,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1197908,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1178940,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1187555,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1186654,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1178469,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1180728,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1179171,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1184322,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1190077,"ZNIEFF type 1",04M000022,"Saint Pierre Pente Externe Ouest",2016-05,Rattachement
1197858,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1093979,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1178856,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1182976,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1183906,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1096825,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1186930,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1190784,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1178008,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1187972,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1181235,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1177493,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1191560,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1179335,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1095651,"ZNIEFF type 1",04M000024,"Saint Pierre Platier Est",2016-05,Rattachement
1186800,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1180377,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1183917,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1191693,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1184521,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1094412,"ZNIEFF type 1",04M000023,"Saint Pierre Platier Ouest",2016-05,Rattachement
1094940,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1179198,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1189832,"ZNIEFF type 1",04M000022,"Saint Pierre Pente Externe Ouest",2016-05,Rattachement
1198090,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1097405,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1181710,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1187686,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1191520,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1188589,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1197775,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1180842,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1198426,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1196425,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1178333,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1185490,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1191615,"ZNIEFF type 1",04M000012,"Terre Sainte Pente Externe",2016-05,Rattachement
1095282,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1182024,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1185896,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1179980,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1184859,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1183055,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1177403,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1179126,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1189546,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1094972,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1189677,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1190177,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1097298,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1195965,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1095941,"ZNIEFF type 1",04M000024,"Saint Pierre Platier Est",2016-05,Rattachement
1190974,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1094121,"ZNIEFF type 1",04M000023,"Saint Pierre Platier Ouest",2016-05,Rattachement
1096127,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1184595,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1186292,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1185822,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1093731,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1191601,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1180668,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1195547,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1191304,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1187904,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1189817,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1190963,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1190698,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1184617,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1189390,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1093767,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1094831,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1096400,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1190625,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1189622,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1184122,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1093902,"ZNIEFF type 1",04M000023,"Saint Pierre Platier Ouest",2016-05,Rattachement
1096618,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1197216,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1190601,"ZNIEFF type 1",04M000022,"Saint Pierre Pente Externe Ouest",2016-05,Rattachement
1188245,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1188268,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1182046,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1097313,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1177987,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1191807,"ZNIEFF type 1",04M000012,"Terre Sainte Pente Externe",2016-05,Rattachement
1195388,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1094304,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1196296,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1095840,"ZNIEFF type 1",04M000024,"Saint Pierre Platier Est",2016-05,Rattachement
1183167,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1093543,"ZNIEFF type 1",04M000023,"Saint Pierre Platier Ouest",2016-05,Rattachement
1185351,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1190244,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1196731,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1190043,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1096033,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1187747,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1185071,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1192021,"ZNIEFF type 1",04M000008,"Grand Bois Pente Externe",2016-05,Rattachement
1190111,"ZNIEFF type 2",04M000003,Saint-Pierre,2016-05,Rattachement
1093698,"ZNIEFF type 1",04M000023,"Saint Pierre Platier Ouest",2016-05,Rattachement
1195528,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
1178861,"Réserve naturelle nationale",FR3600164,"Réserve Nationale Marine de la Réunion",2010,Rattachement
